267a70ac-bc55-4acc-aa13-0e2b755618b5,วิทยาการคอมพิวเตอร์,วิทยาศาสตร์,D14
e0e3e1c1-0273-4c02-b9e3-d01dcb36cb23,เตรียมแพทย์ศาสตร์,วิทยาศาสตร์,D32
bdb5127e-f16f-4ddc-beb5-a2155cd00377,สถิติ,วิทยาศาสตร์,D04
3c581240-a66e-4839-9a5b-84beb82745fc,ภาษาอังกฤษ,มนุษยศาสตร์,L32
3977e791-3a12-4e15-abd3-e4dcb4010af6,ภาษาเยอรมัน,มนุษยศาสตร์,L34
8fed9844-fa0e-4f94-b6e7-0278faffdf99,ภาษาฝรั่งเศส,มนุษยศาสตร์,L33
b1ed5aea-4149-47f2-ade5-0393f2586142,วิศวกรรมเครื่องกล,วิศวกรรมศาสตร์,E03
efca07b5-a9e0-44f3-b6ab-c5aab3b1caad,วิศวกรรมไฟฟ้า,วิศวกรรมศาสตร์,E05
7799035a-550c-49bb-b322-b862157a4d30,วิศวกรรมโยธา,วิศวกรรมศาสตร์,E06
35875c5f-c9df-4656-a4f3-a40922a8f0a2,เศรษฐศาสตร์,เศรษฐศาสตร์,G01
21d9a964-7809-4eb0-b847-8a6d7d91ee00,เศรษฐศาสตร์สหกรณ์,เศรษฐศาสตร์,G03
d32e0a84-89f5-42d3-903f-8ad32dace860,เศรษฐศาสตร์การประกอบการ,เศรษฐศาสตร์,G11
35000f38-9b21-4b62-8f01-fd229763ff65,เคมีการเกษตร,เกษตร,A13
6e86424a-544e-4c96-8720-0e5c9901dea2,วนศาสตร์,วนศาสตร์,C00
